Rank	Name	City	Country	Continent	Start	End	Party	Visual	Cultural	Tourism	Avg Pulse	Event Types	Best For	Description
119	Sinterklaas Intocht Amsterdam	Amsterdam	Netherlands	Europe	2026-11-15	2026-11-15	3	4	3	4	3.5	seasonal, cultural_heritage	Family-friendly, Street celebrations, Winter travel	Sinterklaas (Dutch: [ˌsɪntərˈklaːs] ) or Sint-Nicolaas (Dutch: [sɪnt ˈnikoːlaːs] ) is a legendary figure based on Saint Nicholas, patron saint of children. Other Dutch names for the figure include De Sint ("The Saint"), De Goede Sint ("The Good Saint") and De Goedheiligman (derived from goed hylickman meaning "good marriage man", alluding to his historical reputation as a Saint who can help someone to find a good life partner). Many descendants and cognates of "Sinterklaas" or "Saint Nicholas" in other languages are also used in the Low Countries, nearby regions, and former Dutch colonies. The feast of Sinterklaas celebrates the name day of Saint Nicholas on 6 December. The Sinterklaas feast is celebrated annually with the giving of gifts on St.…
120	Sinulog Festival	Cebu	Philippines	Asia	2026-01-11	2026-01-11	5	5	4	4	4.5	cultural_heritage, religious_spiritual	Cultural immersion, Music lovers, Photography	Sinulog is the Philippines' most spectacular street festival — a Grand Parade of elaborately costumed contingents from across the country dancing the two-steps-forward, one-step-back Sinulog rhythm through the streets of Cebu City in honour of the Santo Niño. The costumes are on a par with the Carnival of Venice in ambition and visual impact. Over a million people attend the Sunday Grand Parade. The festival is rooted in the arrival of Magellan and the baptism of Cebu's queen in 1521 — the Santo Niño figurine given then is still venerated today.
121	Songkran	Bangkok	Thailand	Asia	2026-04-13	2026-04-15	5	4	4	4	4.25	seasonal, cultural_heritage, food_drink	Street celebrations, Photography, Summer travel	Thai New Year, also known as Songkran (Thai: สงกรานต์, pronounced [sǒŋ.krāːn]), or the Songkran Festival (Songkran Splendours), is the Thai New Year's national holiday. It is celebrated annually on 13 April, with the holiday period extending from 14 to 15 April. The festival aligns with New Year celebrations observed in many South and Southeast Asian cultures, following the Theravada Buddhist calendar, and coincides with related observances in the Hindu calendar. In Thailand, the New Year is officially observed on 1 January. Songkran was the official New Year until 1888, when it was changed to 1 April, before being shifted to 1 January in 1940. The traditional Thai New Year, Songkran, remains a national holiday. Celebrations are known for public water fights, which symbolize ritual cleansing. The festival has become popular among international visitors and contributes significantly to tourism.
122	St. Dominic's Fair	Gdansk	Poland	Europe	2026-07-25	2026-08-16	3	4	3	4	3.5	civic_national_holiday, food_drink	Food travel, Summer travel, Family-friendly	St. Dominic's Fair (Polish: Jarmark św. Dominika), is an annual cultural and trade event organized between July and August in the port city of Gdańsk, Pomeranian Voivodeship, Poland. It was founded in 1260 and together with Weihnachtmarkt and Oktoberfest, it is considered one of the biggest cultural and trade open-air events in Europe attended by 5-8 million national and international visitors annually. In the past, the fair usually lasted for two weeks but since 2004, a decision was made to extend it to three weeks.
123	Thrissur Pooram	Thrissur	India	Asia	2026-04-30	2026-04-30	5	5	5	4	4.75	cultural_heritage, religious_spiritual	Photography, Cultural immersion, Traditional heritage	Thrissur Pooram is Kerala's most spectacular temple festival — a single-day event that packs more visual intensity than almost any other festival in India. Two processions of caparisoned elephants (15 on each side) face each other in the temple grounds while teams compete in elaborate parasol-exchange rituals and a thunderous firework display begins before dawn. The fireworks at Thrissur Pooram are not the usual finale — they run from 3am to 7am and are competed between the two participating temples for supremacy. The crowd numbers in the hundreds of thousands.
124	Umbria Jazz Festival	Perugia	Italy	Europe	2026-07-10	2026-07-19	4	4	4	4	4	music, arts	Music lovers, Summer travel, Food travel	The Umbria Jazz Festival, directed by Carlo Pagnetta, is one of the most important jazz festivals in the world and has been held annually since 1973. Today, the summer festival runs for 10 days in Perugia, capital of Umbria. The original plan was to hold events throughout the region of Umbria and indeed the Umbria Jazz Winter Festival takes place annually in December/January in Orvieto.
125	Untold Festival — Cluj-Napoca	Cluj-Napoca	Romania	Europe	2026-08-06	2026-08-09	5	5	2	4	4	music	Music lovers, Nightlife, Summer travel	Central Park is a large public, urban park in central Cluj-Napoca. It was founded in the 19th century and it located on the southern shore of Someşul Mic River. The Park is now home to the University of Arts and Design and to the Chemistry Faculty of the Babeş-Bolyai University. On 13 October 1920, the first Cluj derby between CFR and Universitatea which ended with a 8–0 win for CFR took place on a field from the park. During 2012, the Central Park was site of an important restoration process, especially for the building of the Old Casino. Every year, the west half of the park is closed off as part of the Untold Festival.
126	Valkenburg Christmas Markets	Valkenburg	Netherlands	Europe	2026-11-28	2026-12-23	3	4	3	4	3.5	seasonal, food_drink	Winter travel, Romantic getaway, Food travel	Valkenburg’s Christmas season is known for cave-based markets and winter programming around the town center, typically running from late November through December. Visitor flows peak on weekends and holiday dates.
127	Vienna Ball Season	Vienna	Austria	Europe	2026-01-15	2026-02-25	2	5	4	4	3.75	arts, cultural_heritage	Luxury travel, Romantic getaway, Traditional heritage	The Vienna Opera Ball (German: Wiener Opernball) is an annual Austrian society event which takes place in the building of the Vienna State Opera in Vienna, Austria on the Thursday preceding Ash Wednesday (a religious holiday). Together with the New Year Concert, the ball is one of the highlights of the Viennese carnival season.
128	White Nights Festival	Saint Petersburg	Russia	Europe	2026-05-21	2026-07-21	3	5	5	4	4.25	arts, music	Summer travel, Cultural immersion, Romantic getaway	The White Nights Festival is an annual summer festival in St. Petersburg dedicated to the phenomenon of midnight twilight due to its location near the Arctic Circle: Every year, from about April 22 to August 21, the night sky only reaches twilight and never reaches complete darkness. Highlights of the festival include, Classical ballet, opera, music at the White Nights Festival, the secret sails and fireworks tradition, carnivals and star performances by international artists. The festival includes concerts by musicians and performers of various genres. International artists perform as headliners at the festival. In 2020, the festival was canceled due to the coronavirus pandemic. The festival was held online.
129	Yi Peng Lantern Festival	Chiang Mai	Thailand	Asia	2026-11-11	2026-11-12	4	5	5	4	4.5	cultural_heritage, religious_spiritual	Photography, Romantic getaway, Cultural immersion	Yi Peng is the most visually spectacular festival in Southeast Asia — thousands of paper sky lanterns (khom loi) released simultaneously over Chiang Mai create a river of light rising into the night sky. Combined with Loy Krathong (floating flower offerings on the river), the old city moat and the Ping River become completely covered in candlelit lotus-shaped floats. The Mae Jo mass release (organised by a private company near the city) produces the most famous images but the city-wide releases are equally moving.
130	Advent Zagreb	Zagreb	Croatia	Europe	2026-11-30	2026-12-31	3	5	3	3	3.5	seasonal, cultural_heritage	Winter travel, Food travel, Family-friendly	Zagreb’s Advent season is a city-run winter festival that strings light installations, concerts, and open-air stalls across the centre—from Ban Jelačić Square through Zrinjevac to the Upper Town. Food halls, pop-up bars, and the repurposed Grič Tunnel draw evening crowds from late November through December. Routes and featured stages change each year, so use the official city program for dates, maps, and any timed tickets.
131	Air Guitar World Championships	Oulu	Finland	Europe	2026-08-26	2026-08-28	5	4	2	3	3.5	music	Music lovers, Summer travel, Adrenaline seekers	Air Guitar World Championships (AGWC) is an annual event taking place in Oulu, Finland. AGWC was arranged for the first time in 1996. Today, national championships are held all around the world. Playing air guitar is based on mimicking guitar playing. Music genres may vary, but the most common ones are heavy metal and rock. The idea of having Air Guitar World Championships was generated by musician Jukka Takalo. The first competition was arranged in 1996 as part of Oulu Music Video Festival. Over the years, the contest has grown into its own event. Since 2011 it has been produced by Airnest Productions Ltd, which also takes care of the brand. In the Air Guitar World Championships, participants from all over the world compete who can play the air guitar the best. The judges represent professionals of performing arts and culture, the guitarist Juha Torvinen among others.…
132	Almabtrieb	Garmisch-Partenkirchen	Germany	Europe	2026-09-10	2026-09-30	3	4	4	3	3.5	seasonal, cultural_heritage	Traditional heritage, Food travel, Local authenticity	The Almabtrieb (in Switzerland: Alpabzug, Alpabfahrt, or in French speaking Switzerland: Désalpes; German language literally: drive from the mountain pasture) is an annual event in the alpine regions in Europe, referring to a cattle drive that takes place in late September or early October.
